Date,Adj Close
4/27/2017,10261.25
4/28/2017,10219.88965
5/2/2017,10173.62012
5/4/2017,10088.01953
5/5/2017,9926.259766
5/8/2017,9982.419922
5/9/2017,10128.99023
5/10/2017,10227.41992
5/11/2017,10257.62988
5/12/2017,10282.65039
5/15/2017,10450.34961
5/16/2017,10433.69043
5/17/2017,10383.13965
5/18/2017,10271.34961
5/19/2017,10267.38965
5/22/2017,10374.32031
5/23/2017,10395.28027
5/24/2017,10390.87012
5/25/2017,10571.59961
5/26/2017,10579.66992
5/29/2017,10619.33984
5/31/2017,10602.96973
6/1/2017,10619.87988
6/2/2017,10666.42969
6/5/2017,10597.04981
6/6/2017,10606.25977
6/7/2017,10611.45996
6/8/2017,10649.90039
6/9/2017,10592.16992
6/12/2017,10485.84961
6/13/2017,10525.74023
6/14/2017,10514.91016
6/15/2017,10346.15039
6/16/2017,10384.88965
6/19/2017,10520.79981
6/20/2017,10468.48047
6/21/2017,10393.58984
6/22/2017,10402.75977
6/23/2017,10430.04004
6/26/2017,10530.66016
6/27/2017,10498.07031
6/28/2017,10408.19043
6/29/2017,10432.01953
6/30/2017,10365.21973
7/3/2017,10412.48047
7/4/2017,10305.98047
7/5/2017,10380.73047
7/6/2017,10346.32031
7/7/2017,10251.83008
7/10/2017,10214.58008
7/11/2017,10416.2002
7/12/2017,10517.37012
7/13/2017,10677.44043
7/14/2017,10728.07031
7/17/2017,10783.19043
7/18/2017,10755.28027
7/19/2017,10860.51953
7/20/2017,10846.83008
7/21/2017,10787.12988
7/24/2017,10820.9502
7/25/2017,10782.74023
7/26/2017,10831.5
7/27/2017,10858.19043
7/28/2017,10756.08008
7/31/2017,10827.83984
8/1/2017,11024.12988
8/2/2017,11055.41992
8/3/2017,11002.2002
8/4/2017,11003.08008
8/7/2017,11054.41016
8/8/2017,11079.79004
8/9/2017,10962.59961
8/10/2017,10782.2002
8/11/2017,10572.96973
8/14/2017,10707.24023
8/15/2017,10738
8/16/2017,10817.87988
8/17/2017,10801.41992
8/18/2017,10693.65039
8/21/2017,10751.54004
8/22/2017,10954.91992
8/24/2017,11051
8/25/2017,11288.36035
8/28/2017,11342.07031
8/29/2017,11296.08008
8/30/2017,11374.45996
8/31/2017,11295.44043
9/1/2017,11285.54981
9/4/2017,11182.66992
9/5/2017,11191.58984
9/6/2017,11128.76953
9/7/2017,11098.71973
9/8/2017,11149.63965
9/11/2017,11221.12988
9/12/2017,11242.05957
9/13/2017,11187.07031
9/14/2017,11101.13965
9/15/2017,11067.54981
9/18/2017,11195.98047
9/19/2017,11125.70996
9/20/2017,11173.50977
9/21/2017,11198.32031
9/22/2017,11109
9/25/2017,10912.45996
9/26/2017,10968.38965
9/27/2017,11035.78027
9/28/2017,10874.51953
9/29/2017,10910.04004
10/3/2017,11305.37988
10/4/2017,11397.16992
10/6/2017,11459.08984
10/9/2017,11385.37988
10/10/2017,11418.75977
10/11/2017,11411.41016
10/12/2017,11500.33984
10/13/2017,11519.80957
10/16/2017,11602.91992
10/17/2017,11568.30957
10/18/2017,11621.9502
10/19/2017,11357.4502
10/20/2017,11558.34961
10/23/2017,11491.07031
10/24/2017,11405.54981
10/25/2017,11493.29981
10/26/2017,11446.20996
10/27/2017,11643.57031
10/30/2017,11563.37988
10/31/2017,11507.71973
11/1/2017,11636.49023
11/2/2017,11598.36035
11/3/2017,11602.40039
11/6/2017,11524.63965
11/7/2017,11645.53027
11/8/2017,11576.12988
11/9/2017,11744.54004
